Cards,1 plyrs,2 plyrs,3 plyrs,4 plyrs,5 plyrs,6 plyrs,7 plyrs,8 plyrs,9 plyrs,10 plyrs
Q7s,100.00%,54.50%,36.70%,27.90%,22.70%,19.20%,16.70%,14.80%,13.30%,12.10%
Q7o,100.00%,51.90%,33.20%,24.00%,18.60%,15.10%,12.50%,10.60%,9.20%,8.00%
Q6s,100.00%,53.80%,35.80%,27.10%,21.90%,18.50%,16.10%,14.30%,12.90%,11.70%
Q6o,100.00%,51.10%,32.30%,23.20%,17.90%,14.40%,12.00%,10.10%,8.80%,7.60%
Q5s,100.00%,52.90%,34.90%,26.30%,21.40%,18.10%,15.80%,14.10%,12.70%,11.60%
Q5o,100.00%,50.20%,31.30%,22.30%,17.30%,13.90%,11.60%,9.80%,8.50%,7.40%
Q4s,100.00%,51.70%,33.90%,25.50%,20.70%,17.60%,15.40%,13.70%,12.40%,11.30%
Q4o,100.00%,49.00%,30.20%,21.40%,16.40%,13.30%,11.00%,9.40%,8.10%,7.10%
Q3s,100.00%,50.70%,33.00%,24.70%,20.10%,17.00%,14.90%,13.30%,12.10%,11.10%
Q3o,100.00%,47.90%,29.20%,20.70%,15.90%,12.80%,10.70%,9.10%,7.90%,6.90%
Q2s,100.00%,49.90%,32.20%,24.00%,19.50%,16.60%,14.60%,13.10%,11.90%,10.90%
Q2o,100.00%,47.00%,28.40%,19.90%,15.30%,12.30%,10.30%,8.80%,7.70%,6.80%
JJo,100.00%,77.50%,61.20%,49.20%,40.30%,33.60%,28.50%,24.60%,21.60%,19.30%
JTs,100.00%,57.50%,41.90%,33.80%,28.50%,24.70%,21.90%,19.70%,17.90%,16.50%
JTo,100.00%,55.40%,39.00%,30.70%,25.30%,21.50%,18.60%,16.30%,14.50%,13.10%
J9s,100.00%,55.80%,39.60%,31.30%,26.10%,22.40%,19.70%,17.60%,15.90%,14.60%
J9o,100.00%,53.40%,36.50%,27.90%,22.50%,18.70%,15.90%,13.80%,12.10%,10.80%
J8s,100.00%,54.20%,37.50%,29.10%,24.00%,20.50%,17.90%,15.90%,14.40%,13.20%
J8o,100.00%,51.70%,34.20%,25.60%,20.40%,16.80%,14.10%,12.20%,10.70%,9.50%
J7s,100.00%,52.40%,35.40%,27.10%,22.20%,18.90%,16.40%,14.60%,13.20%,12.00%
J7o,100.00%,49.90%,32.10%,23.50%,18.30%,14.90%,12.40%,10.60%,9.20%,8.10%
J6s,100.00%,50.80%,33.60%,25.40%,20.60%,17.40%,15.20%,13.50%,12.10%,11.10%
J6o,100.00%,47.90%,29.80%,21.40%,16.50%,13.20%,11.00%,9.30%,8.00%,7.00%
J5s,100.00%,50.00%,32.80%,24.70%,20.00%,17.00%,14.70%,13.10%,11.80%,10.80%
J5o,100.00%,47.10%,29.10%,20.70%,15.90%,12.80%,10.60%,8.90%,7.70%,6.70%
J4s,100.00%,49.00%,31.80%,24.00%,19.40%,16.40%,14.30%,12.80%,11.50%,10.60%
J4o,100.00%,46.10%,28.10%,19.90%,15.30%,12.30%,10.20%,8.60%,7.50%,6.50%
J3s,100.00%,47.90%,30.90%,23.20%,18.80%,16.00%,14.00%,12.50%,11.30%,10.40%
